Ident;OrdTerm;FoundIn;IcdResult;Term;FilterIn;FilterOut;TermCodif;TermNoBlank
6498;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;42;45
6554;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;43;46
6609;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;44;47
6797;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;45;48
8302;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;46;49
8305;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;47;50
8323;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;48;51
8432;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;49;52
9264;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;50;53
9275;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;51;54
9279;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;52;55
9299;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;53;56
9370;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;54;57
9383;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;55;58
9384;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;56;59
9389;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;57;60
9400;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;58;61
9404;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;59;62
9434;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;60;63
9445;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;61;64
9668;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;62;65
9797;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;63;66
9822;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;64;67
9981;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;65;68
9983;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;66;69
9994;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;67;70
10025;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;68;71
10031;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;69;72
10033;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;70;73
10034;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;71;74
10053;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;72;75
10093;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;73;76
10095;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;74;77
10137;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;75;78
10138;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;76;79
10156;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;77;80
10186;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;78;81
10234;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;79;82
10260;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;80;83
10302;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;81;84
10339;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;82;85
10452;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;83;86
10499;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;84;87
10500;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;85;88
10547;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;86;89
10567;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;87;90
10578;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;88;91
10603;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;89;92
10604;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;90;93
10673;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;91;94
10782;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;92;95
10792;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;93;96
10865;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;94;97
10870;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;95;98
11048;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;96;99
11057;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;97;100
11104;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;98;101
12394;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;99;102
12624;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;100;103
12688;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;101;104
12738;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;102;105
12741;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;103;106
12744;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;104;107
12752;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;105;108
12773;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;106;109
12774;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;107;110
12832;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;108;111
12845;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;109;112
12867;Term1;Duplicado;R100;ABDOMEN AGUDO;NA;NA;110;113
12947;Term1;Diccionario;;ABDOMINOPLASTIA;NA;NA;110;114
12947;Term1;ResultStandard0;;ABDOMINOPLASTIA;NA;NA;110;114
12947;Term1;ResultStandard1;;ABDOMINOPLASTIA;NA;NA;110;114
12947;Term1;ResultStandard2;;ABDOMINOPLASTIA;NA;NA;110;114
996;Term1;Diccionario;;ABORTO COMPLETO;NA;NA;110;115
996;Term1;AplicaStandard0;;ABORTO COMPLETO;\b(C+OMPLETO)\b;COMPLETO;110;115
996;Term1;ResultStandard0;;ABORTO COMPLETO;NA;NA;110;115
996;Term1;ResultStandard1;;ABORTO COMPLETO;NA;NA;110;115
996;Term1;ResultStandard2;;ABORTO COMPLETO;NA;NA;110;115
1029;Term1;Duplicado;;ABORTO COMPLETO;NA;NA;110;116
1030;Term1;Duplicado;;ABORTO COMPLETO;NA;NA;110;117
1196;Term1;Duplicado;;ABORTO COMPLETO;NA;NA;110;118
10494;Term1;Diccionario;;ABORTO ESPONTANEO;NA;NA;110;119
10494;Term1;ResultStandard0;;ABORTO ESPONTANEO;NA;NA;110;119
10494;Term1;AplicaStandard1;;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;\b^ABORTO\s?ESPONTANEO$\b;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;110;119
10494;Term1;ResultStandard1;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;111;119
10497;Term1;Duplicado;O039;ABORTO ESPONTANEO;NA;NA;112;120
10523;Term1;Duplicado;O039;ABORTO ESPONTANEO;NA;NA;113;121
12611;Term1;Duplicado;O039;ABORTO ESPONTANEO;NA;NA;114;122
7299;Term1;Diccionario;O038;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS;NA;NA;114;123
741;Term1;Diccionario;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;115;124
1597;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;117;125
1598;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;118;126
1605;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;119;127
1651;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;120;128
1921;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;121;129
2980;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;122;130
3099;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;123;131
4440;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;124;132
5851;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;125;133
7099;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;126;134
7776;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;127;135
7997;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;128;136
8004;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;129;137
8168;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;130;138
8174;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;131;139
8207;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;132;140
8645;Term1;Duplicado;O039;ABORTO ESPONTANEO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;133;141
3805;Term1;Diccionario;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;133;142
3808;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;135;143
3869;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;136;144
4054;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;137;145
4055;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;138;146
4076;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;139;147
4132;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;140;148
4233;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;141;149
4442;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;142;150
8749;Term1;Duplicado;O030;ABORTO ESPONTANEO INCOMPLETO COMPLICADO CON INFECCION GENITAL Y PELVIANA;NA;NA;143;151
6585;Term1;Diccionario;;ABORTO ESPONTANEO INCOMPLETO COMPLICADO HEMORRAGIA EXCESIVA O TARDIA;NA;NA;143;152
6585;Term1;AplicaStandard0;;ABORTO ESPONTANEO INCOMPLETO COMPLICADO HEMORRAGIA EXCESIVA O TARDIA;\bH?[EO]R?N?MORR?I?[AE]?([GJ]U?[IE]?A)?(S)?\b;HEMORRAGIA;143;152
6585;Term1;ResultStandard0;;ABORTO ESPONTANEO INCOMPLETO COMPLICADO HEMORRAGIA EXCESIVA O TARDIA;NA;NA;143;152
6585;Term1;AplicaStandard1;;ABORTO ESPONTANEO INCOMPLETO COMPLICADO HEMORRAGIA EXCESIVA O;\bGRAVE|CAUSAS?|REAGUDIZACION|((RE)?AGUDIZAD|DESCONOCID|DIFUS|CONFIRMAD|TARDI|RESUCITAD|REFRACTARI|GENERALI[SZ]AD|AVAN[ZS])[AO]S?\b;;143;152
6585;Term1;AplicaStandard1;;ABORTO ESPONTANEO INCOMPLETO  HEMORRAGIA EXCESIVA O;\bRECIENTE|RESISTENTE|RECUR?RENTE|FULMINANTE|GLOBAL|PUNTO PARTIDA|NO (EFECTIVA|CONFIRMAD[OA]S?)|(DES)?COMPENSAD[OA]S?|(COMPLICAD|MODERAD)[OA]S?|RES(UELT[AO]S?|OLU[SC]ION)\b;;143;152
6585;Term1;ResultStandard1;;ABORTO ESPONTANEO INCOMPLETO  HEMORRAGIA EXCESIVA O;NA;NA;143;152
6585;Term1;AplicaStandard2;;ABORTO ESPONTANEO INCOMPLETO HEMORRAGIA EXCESIVA O;\s\s; ;143;152
6585;Term1;ResultStandard2;;ABORTO ESPONTANEO INCOMPLETO HEMORRAGIA EXCESIVA O;NA;NA;143;152
1836;Term1;Diccionario;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;143;153
3396;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;145;154
4466;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;146;155
4467;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;147;156
4593;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;148;157
7116;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;149;158
7303;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;150;159
7443;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;151;160
7919;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;152;161
7934;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;153;162
7935;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;154;163
7936;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;155;164
8089;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;156;165
8750;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;157;166
8818;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;158;167
8836;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;159;168
9090;Term1;Duplicado;O031;ABORTO ESPONTANEO INCOMPLETO COMPLICADO POR HEMORRAGIA EXCESIVA O TARDIA;NA;NA;160;169
1863;Term1;Diccionario;O033;ABORTO ESPONTANEO INCOMPLETO CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS;NA;NA;160;170
4232;Term1;Duplicado;O033;ABORTO ESPONTANEO INCOMPLETO CON OTRAS COMPLICACIONES ESPECIFICADAS Y LAS NO ESPECIFICADAS;NA;NA;162;171
384;Term1;Diccionario;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;162;172
1776;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;164;173
1946;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;165;174
2072;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;166;175
2182;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;167;176
2209;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;168;177
2218;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;169;178
2385;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;170;179
2529;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;171;180
2557;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;172;181
2569;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;173;182
2631;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;174;183
2678;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;175;184
2710;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;176;185
2744;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;177;186
2747;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;178;187
2968;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;179;188
2969;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;180;189
3193;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;181;190
3824;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;182;191
4213;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;183;192
4223;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;184;193
4278;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;185;194
4404;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;186;195
4471;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;187;196
4594;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;188;197
4602;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;189;198
4668;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;190;199
4870;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;191;200
5108;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;192;201
5575;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;193;202
5587;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;194;203
5843;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;195;204
5987;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;196;205
6066;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;197;206
6087;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;198;207
6840;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;199;208
6858;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;200;209
7002;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;201;210
7121;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;202;211
7141;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;203;212
7729;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;204;213
7808;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;205;214
8097;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;206;215
8512;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;207;216
8539;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;208;217
8568;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;209;218
8578;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;210;219
8583;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;211;220
8586;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;212;221
8588;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;213;222
8596;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;214;223
8824;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;215;224
9111;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;216;225
10624;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;217;226
12802;Term1;Duplicado;O034;ABORTO ESPONTANEO INCOMPLETO SIN COMPLICACION;NA;NA;218;227
1401;Term1;Diccionario;O064;ABORTO INCOMPLETO;NA;NA;218;228
2016;Term1;Diccionario;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;219;229
3395;Term1;Duplicado;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;221;230
3496;Term1;Duplicado;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;222;231
3724;Term1;Duplicado;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;223;232
3726;Term1;Duplicado;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;224;233
8610;Term1;Duplicado;O049;ABORTO MEDICO COMPLETO O NO ESPECIFICADO SIN COMPLICACION;NA;NA;225;234
